C,NEMP.WORLD,NEXT_DAY_ACTUAL_GEN,AEMO,PUBLIC,2016/06/26,04:10:20,0000000272504112,NEXT_DAY_ACTUAL_GEN,0000000272504112
I,METER_DATA,GEN_DUID,1,INTERVAL_DATETIME,DUID,MWH_READING,LASTCHANGED
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:05:00",BBDISEL1,0,"2016/06/25 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:05:00",BUTLERSG,7.899999,"2016/06/25 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:05:00",CALL_A_4,0,"2016/06/25 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:05:00",CAPTL_WF,115.283997,"2016/06/25 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:05:00",CATAGUN1,0,"2016/06/25 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:05:00",CATHROCK,0,"2016/06/25 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:05:00",CHALLHWF,13.10,"2016/06/25 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:05:00",CLOVER,0.39,"2016/06/25 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:05:00",CLUNY,16.133410,"2016/06/25 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:05:00",CNUNDAWF,1.701985,"2016/06/25 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:05:00",CULLRGWF,27.33,"2016/06/25 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:05:00",ERGT01,0,"2016/06/25 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:05:00",GB01,0.165611,"2016/06/25 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:05:00",GEORGTN1,0,"2016/06/25 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:05:00",GEORGTN2,0,"2016/06/25 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:05:00",GERMCRK,33.599998,"2016/06/25 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:05:00",INVICTA,0,"2016/06/25 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:05:00",LKBONNY1,0.625166,"2016/06/25 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:05:00",MBAHNTH,55.106255,"2016/06/25 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:05:00",MEADOWB2,0,"2016/06/25 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:05:00",MLWF1,2.40,"2016/06/25 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:05:00",MTMILLAR,0.066972,"2016/06/25 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:05:00",PALOONA,0,"2016/06/25 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:05:00",PIONEER,-0.40,"2016/06/25 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:05:00",PORTLAT1,0,"2016/06/25 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:05:00",PORTWF,32.900002,"2016/06/25 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:05:00",QUERIVE1,-0.02,"2016/06/25 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:05:00",REPULSE,28.353840,"2016/06/25 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:05:00",ROWALLAN,10.4512,"2016/06/25 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:05:00",ROYALLA1,0,"2016/06/25 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:05:00",RPCG,-0.30,"2016/06/25 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:05:00",RUBICON,0,"2016/06/25 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:05:00",STARHLWF,-0.199942,"2016/06/25 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:05:00",WAUBRAWF,70.865997,"2016/06/25 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:05:00",WOOLNTH1,81.520020,"2016/06/25 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:05:00",WPWF,1,"2016/06/25 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:05:00",YAMBUKWF,11.90,"2016/06/25 04:00:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:10:00",BBDISEL1,0,"2016/06/25 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:10:00",BUTLERSG,7.799998,"2016/06/25 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:10:00",CALL_A_4,0,"2016/06/25 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:10:00",CAPTL_WF,115.3480,"2016/06/25 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:10:00",CATAGUN1,0,"2016/06/25 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:10:00",CATHROCK,0,"2016/06/25 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:10:00",CHALLHWF,12.30,"2016/06/25 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:10:00",CLOVER,0,"2016/06/25 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:10:00",CLUNY,16.719301,"2016/06/25 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:10:00",CNUNDAWF,1.701985,"2016/06/25 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:10:00",CULLRGWF,27.360001,"2016/06/25 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:10:00",ERGT01,0,"2016/06/25 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:10:00",GB01,0.165611,"2016/06/25 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:10:00",GEORGTN1,0,"2016/06/25 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:10:00",GEORGTN2,0,"2016/06/25 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:10:00",GERMCRK,33.900002,"2016/06/25 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:10:00",INVICTA,0,"2016/06/25 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:10:00",LKBONNY1,0.625166,"2016/06/25 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:10:00",MBAHNTH,55.106255,"2016/06/25 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:10:00",MEADOWB2,0,"2016/06/25 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:10:00",MLWF1,3.0450,"2016/06/25 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:10:00",MTMILLAR,0.215798,"2016/06/25 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:10:00",PALOONA,0,"2016/06/25 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:10:00",PIONEER,-0.40,"2016/06/25 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:10:00",PORTLAT1,0,"2016/06/25 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:10:00",PORTWF,32.200001,"2016/06/25 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:10:00",QUERIVE1,-0.01,"2016/06/25 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:10:00",REPULSE,29.154150,"2016/06/25 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:10:00",ROWALLAN,10.4441,"2016/06/25 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:10:00",ROYALLA1,0,"2016/06/25 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:10:00",RPCG,-0.30,"2016/06/25 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:10:00",RUBICON,0,"2016/06/25 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:10:00",STARHLWF,-0.199942,"2016/06/25 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:10:00",WAUBRAWF,71.176003,"2016/06/25 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:10:00",WOOLNTH1,79.470016,"2016/06/25 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:10:00",WPWF,1,"2016/06/25 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:10:00",YAMBUKWF,10.70,"2016/06/25 04:05:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:15:00",BBDISEL1,0,"2016/06/25 04:10:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:15:00",BUTLERSG,7.899999,"2016/06/25 04:10:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:15:00",CALL_A_4,0,"2016/06/25 04:10:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:15:00",CAPTL_WF,114.947998,"2016/06/25 04:10:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:15:00",CATAGUN1,0,"2016/06/25 04:10:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:15:00",CATHROCK,0,"2016/06/25 04:10:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:15:00",CHALLHWF,11.90,"2016/06/25 04:10:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:15:00",CLOVER,-0.01,"2016/06/25 04:10:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:15:00",CLUNY,16.376341,"2016/06/25 04:10:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:15:00",CNUNDAWF,1.301518,"2016/06/25 04:10:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:15:00",CULLRGWF,27.33,"2016/06/25 04:10:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:15:00",ERGT01,0,"2016/06/25 04:10:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:15:00",GB01,0.165611,"2016/06/25 04:10:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:15:00",GEORGTN1,0,"2016/06/25 04:10:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:15:00",GEORGTN2,0,"2016/06/25 04:10:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:15:00",GERMCRK,33.900002,"2016/06/25 04:10:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:15:00",INVICTA,0,"2016/06/25 04:10:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:15:00",LKBONNY1,0.535856,"2016/06/25 04:10:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:15:00",MBAHNTH,55.106255,"2016/06/25 04:10:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:15:00",MEADOWB2,0,"2016/06/25 04:10:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:15:00",MLWF1,3.69,"2016/06/25 04:10:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:15:00",MTMILLAR,0,"2016/06/25 04:10:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:15:00",PALOONA,0,"2016/06/25 04:10:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:15:00",PIONEER,-0.40,"2016/06/25 04:10:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:15:00",PORTLAT1,0,"2016/06/25 04:10:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:15:00",PORTWF,34,"2016/06/25 04:10:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:15:00",QUERIVE1,-0.02,"2016/06/25 04:10:05"
D,METER_DATA,GEN_DUID,1,"2016/06/25 04:15:00",REPULSE,28.830214,"2016/06/25 04:10:05"
