C,NEMP.WORLD,NEXT_DAY_ACTUAL_GEN,AEMO,PUBLIC,2015/10/24,04:10:19,0000000265409378,NEXT_DAY_ACTUAL_GEN,0000000265409378
I,METER_DATA,GEN_DUID,1,INTERVAL_DATETIME,DUID,MWH_READING,LASTCHANGED
D,METER_DATA,GEN_DUID,1,"2015/10/23 04:05:00",ANGAS1,0,"2015/10/23 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/10/23 04:05:00",ANGAS2,0,"2015/10/23 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/10/23 04:05:00",BUTLERSG,-0.000002,"2015/10/23 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/10/23 04:05:00",CALL_A_4,0,"2015/10/23 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/10/23 04:05:00",CAPTL_WF,10.3480,"2015/10/23 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/10/23 04:05:00",CATHROCK,25.059999,"2015/10/23 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/10/23 04:05:00",CHALLHWF,19.299999,"2015/10/23 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/10/23 04:05:00",CLOVER,-0.02,"2015/10/23 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/10/23 04:05:00",CLUNY,3.229540,"2015/10/23 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/10/23 04:05:00",CNUNDAWF,1.101285,"2015/10/23 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/10/23 04:05:00",CULLRGWF,15.30,"2015/10/23 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/10/23 04:05:00",ERGT01,0,"2015/10/23 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/10/23 04:05:00",GB01,0.208950,"2015/10/23 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/10/23 04:05:00",GERMCRK,33.200001,"2015/10/23 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/10/23 04:05:00",INVICTA,35.700001,"2015/10/23 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/10/23 04:05:00",LKBONNY1,2.054115,"2015/10/23 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/10/23 04:05:00",MBAHNTH,42.787502,"2015/10/23 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/10/23 04:05:00",MLWF1,1.71,"2015/10/23 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/10/23 04:05:00",MTMILLAR,21.148207,"2015/10/23 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/10/23 04:05:00",PALOONA,0,"2015/10/23 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/10/23 04:05:00",PIONEER,28.300001,"2015/10/23 04:00:04"
D,METER_DATA,GEN_DUID,1,"2015/10/23 04:05:00",PORTWF,4.80,"2015/10/23 04:00:04"
