C,NEMP.WORLD,NEXT_DAY_ACTUAL_GEN,AEMO,PUBLIC,2016/06/27,04:10:21,0000000272532916,NEXT_DAY_ACTUAL_GEN,0000000272532916
I,METER_DATA,GEN_DUID,1,INTERVAL_DATETIME,DUID,MWH_READING,LASTCHANGED
D,METER_DATA,GEN_DUID,1,"2016/06/26 04:05:00",BBDISEL1,0,"2016/06/26 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/06/26 04:05:00",BUTLERSG,7.899999,"2016/06/26 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/06/26 04:05:00",CALL_A_4,0,"2016/06/26 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/06/26 04:05:00",CAPTL_WF,0,"2016/06/26 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/06/26 04:05:00",CATAGUN1,0,"2016/06/26 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/06/26 04:05:00",CATHROCK,19.089998,"2016/06/26 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/06/26 04:05:00",CHALLHWF,18.299999,"2016/06/26 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/06/26 04:05:00",CLOVER,-0.01,"2016/06/26 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/06/26 04:05:00",CLUNY,16.333471,"2016/06/26 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/06/26 04:05:00",CNUNDAWF,20.724174,"2016/06/26 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/06/26 04:05:00",CULLRGWF,1.84,"2016/06/26 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/06/26 04:05:00",ERGT01,0,"2016/06/26 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/06/26 04:05:00",GB01,0.169888,"2016/06/26 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/06/26 04:05:00",GEORGTN1,0,"2016/06/26 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/06/26 04:05:00",GEORGTN2,0,"2016/06/26 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/06/26 04:05:00",GERMCRK,37.50,"2016/06/26 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/06/26 04:05:00",INVICTA,0,"2016/06/26 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/06/26 04:05:00",LKBONNY1,45.101227,"2016/06/26 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/06/26 04:05:00",MBAHNTH,56.156254,"2016/06/26 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/06/26 04:05:00",MEADOWB2,0,"2016/06/26 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/06/26 04:05:00",MLWF1,6.0750,"2016/06/26 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/06/26 04:05:00",MTMILLAR,13.989666,"2016/06/26 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/06/26 04:05:00",PALOONA,0,"2016/06/26 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/06/26 04:05:00",PIONEER,-0.40,"2016/06/26 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/06/26 04:05:00",PORTLAT1,0,"2016/06/26 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/06/26 04:05:00",PORTWF,88.699997,"2016/06/26 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/06/26 04:05:00",QUERIVE1,-0.03,"2016/06/26 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/06/26 04:05:00",REPULSE,28.925489,"2016/06/26 04:00:04"
D,METER_DATA,GEN_DUID,1,"2016/06/26 04:05:00",ROWALLAN,10.4299,"2016/06/26 04:00:04"
