C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_DAILY,AEMO,PUBLIC,2016/08/01,04:40:00,0000000273596341,,0000000273596339
I,OPERATIONAL_DEMAND,ACTUAL,1,REGIONID,INTERVAL_DATETIME,OPERATIONAL_DEMAND,LASTCHANGED
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/31 04:30:00",6445,"2016/07/31 04:31:18"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/31 05:00:00",6446,"2016/07/31 05:00:51"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/31 05:30:00",6536,"2016/07/31 05:30:24"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/31 06:00:00",6661,"2016/07/31 06:01:21"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/31 06:30:00",6879,"2016/07/31 06:30:56"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/31 07:00:00",7141,"2016/07/31 07:00:31"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/31 07:30:00",7495,"2016/07/31 07:30:08"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/31 08:00:00",7937,"2016/07/31 08:01:08"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/31 08:30:00",8358,"2016/07/31 08:30:42"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/31 09:00:00",8608,"2016/07/31 09:00:17"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/31 09:30:00",8762,"2016/07/31 09:31:18"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/31 10:00:00",8744,"2016/07/31 10:00:54"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/31 10:30:00",8652,"2016/07/31 10:30:29"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/31 11:00:00",8450,"2016/07/31 11:00:05"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/31 11:30:00",8198,"2016/07/31 11:31:05"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/31 12:00:00",8032,"2016/07/31 12:00:41"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/31 12:30:00",7820,"2016/07/31 12:30:16"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/31 13:00:00",7676,"2016/07/31 13:01:16"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/31 13:30:00",7576,"2016/07/31 13:30:52"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/31 14:00:00",7474,"2016/07/31 14:00:28"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/31 14:30:00",7433,"2016/07/31 14:30:03"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/31 15:00:00",7407,"2016/07/31 15:01:03"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/31 15:30:00",7451,"2016/07/31 15:30:39"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/31 16:00:00",7615,"2016/07/31 16:00:15"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/31 16:30:00",7825,"2016/07/31 16:31:14"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/31 17:00:00",8178,"2016/07/31 17:00:50"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/31 17:30:00",8721,"2016/07/31 17:30:25"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/31 18:00:00",9526,"2016/07/31 18:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/31 18:30:00",9881,"2016/07/31 18:31:01"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/31 19:00:00",9886,"2016/07/31 19:00:36"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/31 19:30:00",9743,"2016/07/31 19:30:12"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/31 20:00:00",9621,"2016/07/31 20:01:13"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/31 20:30:00",9472,"2016/07/31 20:30:49"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/31 21:00:00",9288,"2016/07/31 21:00:24"
