C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_DAILY,AEMO,PUBLIC,2016/07/26,04:40:00,0000000273415347,,0000000273415345
I,OPERATIONAL_DEMAND,ACTUAL,1,REGIONID,INTERVAL_DATETIME,OPERATIONAL_DEMAND,LASTCHANGED
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/25 04:30:00",6765,"2016/07/25 04:30:10"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/25 05:00:00",6894,"2016/07/25 05:01:08"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/25 05:30:00",7240,"2016/07/25 05:30:40"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/25 06:00:00",7701,"2016/07/25 06:00:14"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/25 06:30:00",8601,"2016/07/25 06:31:12"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/25 07:00:00",9424,"2016/07/25 07:00:45"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/25 07:30:00",10046,"2016/07/25 07:30:19"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/25 08:00:00",10465,"2016/07/25 08:01:18"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/25 08:30:00",10493,"2016/07/25 08:30:51"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/25 09:00:00",10199,"2016/07/25 09:00:24"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/25 09:30:00",10018,"2016/07/25 09:31:22"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/25 10:00:00",9754,"2016/07/25 10:00:55"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/25 10:30:00",9585,"2016/07/25 10:30:29"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/25 11:00:00",9346,"2016/07/25 11:00:03"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/25 11:30:00",9143,"2016/07/25 11:31:01"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/25 12:00:00",8992,"2016/07/25 12:00:34"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/25 12:30:00",8875,"2016/07/25 12:30:07"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/25 13:00:00",8774,"2016/07/25 13:01:05"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/25 13:30:00",8672,"2016/07/25 13:30:38"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/25 14:00:00",8625,"2016/07/25 14:00:11"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/25 14:30:00",8598,"2016/07/25 14:31:10"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/25 15:00:00",8640,"2016/07/25 15:00:44"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/25 15:30:00",8695,"2016/07/25 15:30:17"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/25 16:00:00",8867,"2016/07/25 16:01:13"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/25 16:30:00",9173,"2016/07/25 16:30:47"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/25 17:00:00",9673,"2016/07/25 17:00:20"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/25 17:30:00",10329,"2016/07/25 17:31:18"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/25 18:00:00",11173,"2016/07/25 18:00:51"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/25 18:30:00",11381,"2016/07/25 18:30:24"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/25 19:00:00",11368,"2016/07/25 19:01:21"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/25 19:30:00",11093,"2016/07/25 19:30:55"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/25 20:00:00",10927,"2016/07/25 20:00:28"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/25 20:30:00",10752,"2016/07/25 20:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/25 21:00:00",10463,"2016/07/25 21:01:00"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/25 21:30:00",10141,"2016/07/25 21:30:32"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/25 22:00:00",9777,"2016/07/25 22:00:05"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/25 22:30:00",9520,"2016/07/25 22:31:03"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/25 23:00:00",9188,"2016/07/25 23:00:36"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/25 23:30:00",8967,"2016/07/25 23:30:10"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/26 00:00:00",8720,"2016/07/26 00:01:08"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/26 00:30:00",8528,"2016/07/26 00:30:41"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/26 01:00:00",8326,"2016/07/26 01:00:14"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/26 01:30:00",8133,"2016/07/26 01:31:11"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/26 02:00:00",7921,"2016/07/26 02:00:45"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/26 02:30:00",7563,"2016/07/26 02:30:17"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/26 03:00:00",7308,"2016/07/26 03:01:15"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/26 03:30:00",7057,"2016/07/26 03:30:50"
D,OPERATIONAL_DEMAND,ACTUAL,1,NSW1,"2016/07/26 04:00:00",6966,"2016/07/26 04:00:22"
D,OPERATIONAL_DEMAND,ACTUAL,1,QLD1,"2016/07/25 04:30:00",5056,"2016/07/25 04:30:10"
D,OPERATIONAL_DEMAND,ACTUAL,1,QLD1,"2016/07/25 05:00:00",5136,"2016/07/25 05:01:08"
D,OPERATIONAL_DEMAND,ACTUAL,1,QLD1,"2016/07/25 05:30:00",5379,"2016/07/25 05:30:40"
D,OPERATIONAL_DEMAND,ACTUAL,1,QLD1,"2016/07/25 06:00:00",5619,"2016/07/25 06:00:14"
D,OPERATIONAL_DEMAND,ACTUAL,1,QLD1,"2016/07/25 06:30:00",6010,"2016/07/25 06:31:12"
D,OPERATIONAL_DEMAND,ACTUAL,1,QLD1,"2016/07/25 07:00:00",6394,"2016/07/25 07:00:45"
D,OPERATIONAL_DEMAND,ACTUAL,1,QLD1,"2016/07/25 07:30:00",6691,"2016/07/25 07:30:19"
D,OPERATIONAL_DEMAND,ACTUAL,1,QLD1,"2016/07/25 08:00:00",6707,"2016/07/25 08:01:18"
D,OPERATIONAL_DEMAND,ACTUAL,1,QLD1,"2016/07/25 08:30:00",6570,"2016/07/25 08:30:51"
D,OPERATIONAL_DEMAND,ACTUAL,1,QLD1,"2016/07/25 09:00:00",6356,"2016/07/25 09:00:24"
D,OPERATIONAL_DEMAND,ACTUAL,1,QLD1,"2016/07/25 09:30:00",6180,"2016/07/25 09:31:22"
D,OPERATIONAL_DEMAND,ACTUAL,1,QLD1,"2016/07/25 10:00:00",6047,"2016/07/25 10:00:55"
D,OPERATIONAL_DEMAND,ACTUAL,1,QLD1,"2016/07/25 10:30:00",5910,"2016/07/25 10:30:29"
D,OPERATIONAL_DEMAND,ACTUAL,1,QLD1,"2016/07/25 11:00:00",5862,"2016/07/25 11:00:03"
D,OPERATIONAL_DEMAND,ACTUAL,1,QLD1,"2016/07/25 11:30:00",5773,"2016/07/25 11:31:01"
D,OPERATIONAL_DEMAND,ACTUAL,1,QLD1,"2016/07/25 12:00:00",5775,"2016/07/25 12:00:34"
D,OPERATIONAL_DEMAND,ACTUAL,1,QLD1,"2016/07/25 12:30:00",5781,"2016/07/25 12:30:07"
D,OPERATIONAL_DEMAND,ACTUAL,1,QLD1,"2016/07/25 13:00:00",5769,"2016/07/25 13:01:05"
